Date,Open,High,Low,Close,Volume,ActualValue1,ForecastValue1,PreviousValue1,ActualValue2,ForecastValue2,PreviousValue2,ActualValue3,ForecastValue3,PreviousValue3,ActualValue5,ForecastValue5,PreviousValue5,ActualValue6,ForecastValue6,PreviousValue6,ActualValue7,ForecastValue7,PreviousValue7,ActualValue8,ForecastValue8,PreviousValue8,ActualValue9,ForecastValue9,PreviousValue9,ActualValue11,ForecastValue11,PreviousValue11,ActualValue12,ForecastValue12,PreviousValue12,ActualValue13,ForecastValue13,PreviousValue13,ActualValue14,ForecastValue14,PreviousValue14,ActualValue15,ForecastValue15,PreviousValue15,ActualValue16,ForecastValue16,PreviousValue16,ActualValue17,ForecastValue17,PreviousValue17,ActualValue18,ForecastValue18,PreviousValue18,ActualValue19,ForecastValue19,PreviousValue19,ActualValue20,ForecastValue20,PreviousValue20
2007-02-28,1.32297,1.32369,1.31787,1.32273,1995187,2.2,,,,,,,,,,,,,,,,,,111.2,,110.3,,,,,,,0.0,,,0.6,,,2.9,,,1.0,,0.9,,,,6.44,,6.22,,,,0.6,,,0.882,,1.120
2007-03-01,1.32255,1.32389,1.31547,1.31644,2016483,2.2,,,,,,52.3,,,,,,,,,,,,111.2,,110.3,,,,,,,0.0,,,0.6,,,2.9,,,1.0,,0.9,,,,6.44,,6.22,,,,0.6,,,0.882,,1.120
2007-03-02,1.31656,1.31998,1.31408,1.31882,1906934,2.2,,,,,,52.3,,,,,,,,,,,,111.2,,110.3,,,,,,,0.0,,,0.6,,,2.9,,,1.0,,0.9,,,,6.44,,6.22,,,,0.6,,,0.882,,1.120
2007-03-04,1.31949,1.32101,1.31817,1.3182,97978,2.2,,,,,,52.3,,,,,,,,,,,,111.2,,110.3,,,,,,,0.0,,,0.6,,,2.9,,,1.0,,0.9,,,,6.44,,6.22,,,,0.6,,,0.882,,1.120
2007-03-05,1.31802,1.31926,1.30723,1.3084,2010652,2.2,,,,,,52.3,,,,,,,,,,,,111.2,,110.3,,,,,,,0.0,,,0.6,,,2.9,,,1.0,,0.9,,,,6.44,,6.22,,,,0.6,,,0.882,,1.120
2007-03-06,1.30813,1.3139,1.30798,1.31332,2006319,2.2,,,,,,52.3,,,,,,,,,,,,111.2,,110.3,,,,,,,0.0,,,0.9,,0.6,2.9,,,1.0,,0.9,,,,6.44,,6.22,,,,0.6,,,0.882,,1.120
2007-03-07,1.31338,1.31844,1.31086,1.31747,2003757,2.2,,,,,,52.3,,,,,,57,,,,,,111.2,,110.3,,,,,,,0.0,,,0.9,,0.6,2.9,,,1.0,,0.9,,,,6.44,,6.22,,,,0.6,,,0.882,,1.120
2007-03-08,1.31735,1.31813,1.31154,1.31365,2001217,2.2,,,,,,52.3,,,,,,57,,,,,,111.2,,110.3,,,,,,,0.0,,,0.9,,0.6,2.9,,,1.0,,0.9,,,,6.44,,6.22,,,,0.6,,,0.882,,1.120
2007-03-09,1.31343,1.31583,1.30864,1.31118,1912499,2.2,,,,,,52.3,,,,,,57,,,,,,111.2,,110.3,,,,,,,0.0,,,0.9,,0.6,2.9,,,1.0,,0.9,,,,6.44,,6.22,,,,0.6,,,0.882,,1.120
2007-03-11,1.31236,1.31415,1.31068,1.31242,145408,2.2,,,,,,52.3,,,,,,57,,,,,,111.2,,110.3,,,,,,,0.0,,,0.9,,0.6,2.9,,,1.0,,0.9,,,,6.44,,6.22,,,,0.6,,,0.882,,1.120
