"Date	ActualValue19	ForecastValue19	PreviousValue19"
"2024.05.21	17.3	16.5	16.7"
"2024.04.16	17.9		27.1"
"2024.03.18	28.1	15.0	13.0"
"2024.02.15	13.0	13.9	15.1"
"2024.01.15	14.8	10.1	11.1"
"2023.12.15	10.9	10.6	8.7"
"2023.11.15	9.2	7.4	11.1"
"2023.10.16	11.9	7.7	3.5"
"2023.09.15	2.9	5.8	8.6"
"2023.08.17	12.5	-4.0	0.2"
"2023.07.14	-0.9	-14.8	-8.0"
"2023.06.15	-7.1	8.5	14.0"
"2023.05.16	17.0	-5.7	-0.1"
"2023.04.20	-0.1	-14.7	-11.6"
"2023.03.20	-11.3	-14.0	-13.4"
"2023.02.15	-18.1	-8.1	-14.4"
"2023.01.13	-15.2	-34.3	-28.1"
"2022.12.16	-28.3	-48.6	-36.4"
"2022.11.15	-37.7	-53.0	-47.6"
"2022.10.14	-47.3	-43.8	-40.5"
"2022.09.15	-40.3	-35.5	-32.2"
"2022.08.16	-30.8	-32.7	-27.2"
"2022.07.15	-26.0	-40.6	-31.8"
"2022.06.15	-31.7	-15.4	-17.8"
"2022.05.16	-17.6	-6.6	-11.3"
"2022.04.20	-9.4	-8.4	-7.7"
"2022.03.18	-7.7	-9.8	-9.7"
"2022.02.15	-9.7	-2.5	-1.8"
"2022.01.14	-1.3	-1.1	1.8"
"2021.12.16	2.4	12.7	6.1"
"2021.11.15	6.1	18.7	9.7"
"2021.10.15	11.1	19.3	13.5"
"2021.09.16	13.4	15.0	11.9"
"2021.08.13	12.4	9.3	13.8"
"2021.07.16	9.4	6.9	13.4"
"2021.06.15	9.4	9.5	18.3"
"2021.05.18	13.0	15.2	23.1"
"2021.04.16	18.4	20.3	28.7"
"2021.03.18	24.2	22.6	27.5"
"2021.02.15	27.5	19.4	24.9"
"2021.01.15	25.1	22.6	25.2"
"2020.12.16	25.9	29.6	23.7"
"2020.11.13	24.0	15.2	21.0"
"2020.10.16	21.9	13.7	19.3"
"2020.09.16	20.3	9.3	16.0"
"2020.08.14	17.1	12.4	8.6"
"2020.07.16	8.0	6.9	1.6"
"2020.06.15	1.2	22.9	25.5"
"2020.05.15	23.5	22.0	25.6"
"2020.04.20	25.8	21.1	18.2"
"2020.03.18	17.3	22.0	21.5"
"2020.02.14	22.2	21.6	19.1"
"2020.01.15	19.2	21.2	24.0"
"2019.12.17	24.5	19.3	18.7"
"2019.11.15	18.3	19.4	19.7"
"2019.10.16	20.3	18.9	17.5"
"2019.09.13	19.0	18.0	17.7"
"2019.08.16	17.9	17.9	19.6"
"2019.07.16	20.2	17.9	15.7"
"2019.06.18	15.3	18.5	18.6"
