"Date	ActualValue18	ForecastValue18	PreviousValue18"
"2024.04.24	2.54		2.38"
"2024.04.03	2.38		2.30"
"2024.03.26	2.30		2.31"
"2024.03.13	2.31		2.38"
"2024.02.21	2.38		2.23"
"2024.01.31	2.23		2.19"
"2024.01.10	2.19		2.45"
"2023.11.29	2.45		"
"2023.11.22			2.64"
"2023.11.08	2.64		"
"2023.10.25			2.90"
"2023.10.18	2.90		2.78"
"2023.09.27	2.78		2.63"
"2023.09.06	2.63		2.46"
"2023.08.09	2.46		2.64"
"2023.07.12	2.64		2.39"
"2023.07.05	2.39		2.43"
"2023.06.14	2.43		2.31"
"2023.05.17	2.31		2.51"
"2023.04.19	2.51		2.32"
"2023.03.22	2.32		2.56"
"2023.02.22	2.56		2.27"
"2023.02.01	2.27		2.25"
"2023.01.11	2.25		1.95"
"2022.11.30	1.95		2.25"
"2022.11.09	2.25		2.07"
"2022.11.02	2.07		2.33"
"2022.10.12	2.33		1.87"
"2022.09.21	1.87		1.33"
"2022.08.24	1.33		0.94"
"2022.07.27	0.94		1.05"
"2022.07.20	1.05		1.22"
"2022.07.06	1.22		1.33"
"2022.06.08	1.33		0.96"
"2022.05.11	0.96		0.93"
"2022.05.04	0.93		0.83"
"2022.04.13	0.83		0.38"
"2022.03.16	0.38		-0.20"
"2022.03.02	-0.20		0.31"
"2022.02.16	0.31		-0.08"
"2022.01.26	-0.08		-0.09"
"2022.01.05	-0.09		-0.29"
"2021.11.10	-0.29		-0.16"
"2021.10.20	-0.16		-0.22"
"2021.09.29	-0.22		-0.38"
"2021.09.08	-0.38		-0.44"
"2021.08.11	-0.44		-0.30"
"2021.07.14	-0.30		-0.19"
"2021.06.16	-0.19		-0.09"
"2021.05.19	-0.09		-0.25"
"2021.04.21	-0.25		-0.36"
"2021.03.24	-0.36		-0.32"
"2021.02.24	-0.32		-0.54"
"2021.01.27	-0.54		-0.52"
"2021.01.06	-0.52		-0.57"
"2020.11.18	-0.57		-0.51"
"2020.10.07	-0.51		-0.50"
"2020.09.09	-0.50		-0.46"
"2020.08.12	-0.46		-0.46"
"2020.07.15	-0.46		-0.38"
"2020.06.17	-0.38		-0.47"
"2020.05.20	-0.47		-0.48"
"2020.04.29	-0.48		-0.34"
"2020.04.08	-0.34		-0.77"
"2020.03.11	-0.77		-0.38"
"2020.02.12	-0.38		-0.25"
"2020.01.08	-0.25		-0.33"
"2019.12.04	-0.33		-0.29"
"2019.11.13	-0.29		-0.41"
"2019.10.23	-0.41		-0.61"
"2019.09.25	-0.61		-0.70"
"2019.08.28	-0.70		-0.41"
"2019.07.31	-0.41		-0.26"
"2019.07.10	-0.26		-0.24"
"2019.06.12	-0.24		-0.07"
"2019.05.22	-0.07		0.02"
"2019.04.24	0.02		-0.05"
"2019.03.27	-0.05		0.12"
"2019.02.27	0.12	0.16	0.20"
"2019.01.30	0.20	0.34	0.29"
"2019.01.09	0.29	0.30	0.34"
"2018.11.28	0.34	0.42	0.42"
