"Date	ActualValue15	ForecastValue15	PreviousValue15"
"2024.05.24	0.2	0.2	0.2"
"2024.04.30	0.2	0.0	-0.5"
"2024.02.23	-0.3	-0.3	-0.3"
"2024.01.30	-0.3	0.0	0.0"
"2023.11.24	-0.1	-0.1	-0.1"
"2023.10.30	-0.1	-0.2	0.1"
"2023.08.25	0.0	0.0	0.0"
"2023.07.28	0.0	0.6	-0.1"
"2023.05.25	-0.3	0.0	0.0"
"2023.04.28	0.0	-0.1	-0.5"
"2023.02.24	-0.4	-0.2	-0.2"
"2023.01.30	-0.2	-1.1	0.5"
"2022.11.25	0.4	0.3	0.3"
"2022.10.28	0.3	0.4	0.1"
"2022.08.25	0.1	0.1	0.0"
"2022.07.29	0.0	0.1	0.8"
"2022.05.25	0.2	0.2	0.2"
"2022.04.29	0.2	-1.1	-0.3"
"2022.02.25	-0.3	-0.7	-0.7"
"2022.01.28	-0.7	0.5	1.7"
"2021.11.25	1.7	1.8	1.8"
"2021.10.29	1.8	1.8	1.9"
"2021.08.24	1.6	1.5	1.5"
"2021.07.30	1.5	-1.8	-2.1"
"2021.05.25	-1.8	-1.7	-1.7"
"2021.04.30	-1.7	-8.0	0.5"
"2021.02.24	0.3	0.1	0.1"
"2021.01.29	0.1	11.2	8.5"
"2020.11.24	8.5	8.2	8.2"
"2020.10.30	8.2	-8.9	-9.8"
"2020.08.25	-9.7	-10.1	-10.1"
"2020.07.30	-10.1	-2.2	-2.0"
"2020.05.25	-2.2	-2.2	-2.2"
"2020.05.15	-2.2	-0.3	-0.1"
"2020.02.25	0.0	0.0	0.0"
"2020.02.14	0.0	0.5	0.2"
"2019.11.22	0.1	0.1	0.1"
"2019.11.14	0.1	-0.1	-0.2"
"2019.08.27	-0.1	-0.1	-0.1"
"2019.08.14	-0.1	0.3	0.4"
"2019.05.23	0.4	0.4	0.4"
"2019.05.15	0.4	0.2	0.0"
"2019.02.22	0.0	0.0	0.0"
"2019.02.14	0.0	-0.4	-0.2"
"2018.11.23	-0.2	-0.2	-0.2"
"2018.11.14	-0.2	0.4	0.5"
"2018.08.24	0.5		0.5"
"2018.08.14	0.5		0.3"
"2018.05.24	0.3		0.3"
"2018.05.15	0.3		0.6"
"2018.02.23	0.6		0.6"
"2018.02.14	0.6		0.8"
"2017.11.23	0.8		0.8"
"2017.11.14	0.8		0.6"
"2017.08.25	0.6		0.6"
"2017.08.15	0.6		0.7"
"2017.05.23	0.6		0.6"
"2017.05.12	0.6		0.4"
"2017.02.23	0.4		0.4"
"2017.02.14	0.4		0.1"
"2016.11.24	0.2		0.2"
"2016.11.15	0.2		0.4"
"2016.08.24	0.4		0.4"
"2016.08.12	0.4		0.7"
"2016.05.24	0.7		0.7"
"2016.05.13	0.7		0.3"
"2016.02.23	0.3		0.3"
"2016.02.12	0.3		0.3"
"2015.11.24	0.3		0.3"
"2015.11.13	0.3		0.4"
"2015.08.25	0.4		0.4"
"2015.08.14	0.4		0.3"
"2015.05.22	0.3		0.3"
"2015.05.13	0.3		0.7"
"2015.02.24	0.7		0.7"
"2015.02.13	0.7		0.1"
"2014.11.25	0.1		0.1"
"2014.11.14	0.1		-0.1"
"2014.09.01	-0.1		-0.2"
"2014.08.14	-0.2		0.7"
"2014.05.23	0.7		0.8"
"2014.05.15	0.8		0.4"
"2014.02.25	0.4		0.4"
"2014.02.14	0.4		0.3"
"2013.11.22	0.3		0.3"
"2013.11.14	0.3		0.7"
"2013.08.23	0.7		0.7"
"2013.08.14	0.7		0.0"
"2013.05.24	0.0		0.1"
"2013.05.15	0.1		-0.6"
"2013.02.22	-0.6		-0.6"
"2013.02.14	-0.6		0.2"
"2012.11.23	0.2		0.2"
"2012.11.15	0.2		0.3"
"2012.08.23	0.3		0.3"
"2012.08.14	0.3		0.5"
"2012.05.24	0.5		0.5"
"2012.05.15	0.5		-0.2"
"2012.02.24	-0.2		-0.2"
"2012.02.15	-0.2		-0.2"
"2011.11.24	-0.2		0.5"
"2011.11.15	0.5		0.3"
"2011.09.01	0.3		0.1"
"2011.08.16	0.1		1.3"
"2011.05.24	1.3		1.5"
"2011.05.13	1.5		0.4"
"2011.02.24	0.4		0.4"
"2011.02.15	0.4		0.8"
"2010.11.23	0.8		0.7"
"2010.11.12	0.7		2.1"
"2010.08.24	2.1		2.2"
"2010.08.13	2.2		0.5"
"2010.05.21	0.5		0.2"
"2010.05.12	0.2		0.3"
"2010.02.24	0.3		0.0"
"2010.02.12	0.0		0.7"
"2009.11.24	0.7		0.7"
"2009.11.13	0.7		0.3"
"2009.08.25	0.5		0.5"
"2009.08.13	0.5		-3.8"
"2009.05.26	-3.4		-3.4"
"2009.05.15	-3.4		-2.1"
"2009.02.25	-2.2		-2.2"
"2009.02.13	-2.2		-0.5"
"2008.11.25	-0.5		-0.5"
"2008.11.13	-0.5		-0.4"
"2008.08.26	-0.4		-0.5"
"2008.08.14	-0.5		1.5"
"2008.05.27	1.5		1.5"
"2008.05.15	1.5		0.3"
"2008.02.26	0.3		0.3"
"2008.02.14	0.3		0.7"
"2007.11.22	0.7		0.7"
"2007.11.14	0.7		0.3"
"2007.08.23	0.3		0.3"
"2007.08.14	0.3		0.5"
"2007.05.24	0.5		0.5"
"2007.05.15	0.5		1.0"
"2007.02.22	1.0		0.9"
"2007.02.13	0.9		"
