"Date	ActualValue14	ForecastValue14	PreviousValue14"
"2024.05.14	47.1	46.9	42.9"
"2024.04.16	42.9	42.7	31.7"
"2024.03.19	31.7		15.2"
"2024.01.16	15.2		12.8"
"2023.12.12	12.8	4.3	9.8"
"2023.11.14	9.8	-6.2	-1.1"
"2023.10.17	-1.1	-11.9	-11.4"
"2023.09.12	-11.4	-13.5	-12.3"
"2023.08.15	-12.3	-11.6	-14.7"
"2023.07.11	-14.7	-9.6	-8.5"
"2023.06.13	-8.5	-3.3	-10.7"
"2023.05.16	-10.7	8.6	4.1"
"2023.04.18	4.1	20.6	13.0"
"2023.03.21	13.0	22.6	28.1"
"2023.02.21	28.1	-3.2	16.9"
"2023.01.17	16.9	-30.0	-23.3"
"2022.12.13	-23.3	-48.1	-36.7"
"2022.11.15	-36.7	-61.2	-59.2"
"2022.10.18	-59.2	-59.4	-61.9"
"2022.09.13	-61.9	-55.1	-55.3"
"2022.08.16	-55.3	-41.4	-53.8"
"2022.07.12	-53.8	-31.2	-28.0"
"2022.06.14	-28.0	-37.8	-34.3"
"2022.05.10	-34.3	-40.4	-41.0"
"2022.04.12	-41.0	-1.1	-39.3"
"2022.03.15	-39.3	53.6	54.3"
"2022.02.15	54.3	41.2	51.7"
"2022.01.18	51.7	30.9	29.9"
"2021.12.07	29.9	27.1	31.7"
"2021.11.09	31.7	24.4	22.3"
"2021.10.12	22.3	33.5	26.5"
"2021.09.07	26.5	52.1	40.4"
"2021.08.10	40.4	72.6	63.3"
"2021.07.06	63.3	84.1	79.8"
"2021.06.08	79.8	79.8	84.4"
"2021.05.11	84.4	75.1	70.7"
"2021.04.13	70.7	75.7	76.6"
"2021.03.16	76.6	68.0	71.2"
"2021.02.16	71.2	59.4	61.8"
"2021.01.19	61.8	47.7	55.0"
"2020.12.08	55.0	47.9	39.0"
"2020.11.10	39.0	67.7	56.1"
"2020.10.13	56.1	76.6	77.4"
"2020.09.15	77.4	67.1	71.5"
"2020.08.11	71.5	62.4	59.3"
"2020.07.14	59.3	30.9	63.4"
"2020.06.16	63.4	40.2	51.0"
"2020.05.19	51.0	-10.6	28.2"
"2020.04.21	28.2	-20.8	-49.5"
"2020.03.17	-49.5	17.7	8.7"
"2020.02.18	8.7	18.8	26.7"
"2020.01.21	26.7	4.3	10.7"
"2019.12.10	10.7	-12.4	-2.1"
"2019.11.12	-2.1	-22.7	-22.8"
"2019.10.15	-22.8	-33.4	-22.5"
"2019.09.17	-22.5	-34.7	-44.1"
"2019.08.13	-44.1	-22.9	-24.5"
"2019.07.16	-24.5	-11.6	-21.1"
"2019.06.18	-21.1	0.5	-2.1"
"2019.05.14	-2.1	-0.2	3.1"
"2019.04.16	3.1	-8.5	-3.6"
"2019.03.19	-3.6	-14.2	-13.4"
"2019.02.19	-13.4	-16.3	-15.0"
