"Date	ActualValue8	ForecastValue8	PreviousValue8"
"2024.04.30	97.0	139.7	103.1"
"2024.03.26	104.7	107.2	104.8"
"2024.02.27	106.7	108.0	110.9"
"2024.01.30	114.8	102.4	108.0"
"2023.12.20	110.7	102.3	101.0"
"2023.11.28	102.0	102.7	99.1"
"2023.10.31	102.6	104.5	104.3"
"2023.09.26	103.0	111.5	108.7"
"2023.08.29	106.1	113.4	114.0"
"2023.07.25	117.0	106.0	110.1"
"2023.06.27	109.7	101.7	102.5"
"2023.05.30	102.3	102.7	103.7"
"2023.04.25	101.3	103.5	104.0"
"2023.03.28	104.2	104.9	103.4"
"2023.02.28	102.9	107.7	106.0"
"2023.01.31	107.1	104.2	109.0"
"2022.12.21	108.3	101.2	101.4"
"2022.11.29	100.2	105.2	102.2"
"2022.10.25	102.5	105.6	107.8"
"2022.09.27	108.0	99.4	103.6"
"2022.08.30	103.2	97.1	95.3"
"2022.07.26	95.7	102.4	98.4"
"2022.06.28	98.7	106.8	106.4"
"2022.05.31	106.4	107.2	108.6"
"2022.04.26	107.3	108.8	107.6"
"2022.03.29	107.2	112.1	105.7"
"2022.02.22	110.5	114.8	111.1"
"2022.01.25	113.8	112.7	115.2"
"2021.12.22	115.8	111.6	111.9"
"2021.11.30	109.5	111.6	111.6"
"2021.10.26	113.8	111.5	109.8"
"2021.09.28	109.3	121.5	115.2"
"2021.08.31	113.8	128.5	125.1"
"2021.07.27	129.1	117.3	128.9"
"2021.06.29	127.3	119.5	120.0"
"2021.05.25	117.2	115.9	117.5"
"2021.04.27	121.7	100.5	109.0"
"2021.03.30	109.7	90.1	90.4"
"2021.02.23	91.3	88.7	88.9"
"2021.01.26	89.3	92.1	87.1"
"2020.12.22	88.6	98.3	92.9"
"2020.11.24	96.1	101.2	101.4"
"2020.10.27	100.9	93.2	101.3"
"2020.09.29	101.8	88.5	86.3"
"2020.08.25	84.8	95.2	91.7"
"2020.07.28	92.6	92.2	98.3"
"2020.06.30	98.1	66.3	85.9"
"2020.05.26	86.6	115.2	85.7"
"2020.04.28	86.9	133.8	118.8"
"2020.03.31	120.0	134.8	132.6"
"2020.02.25	130.7	129.5	130.4"
"2020.01.28	131.6	123.9	128.2"
"2019.12.31	126.5	122.6	126.8"
"2019.11.26	125.5	125.2	126.1"
"2019.10.29	125.9	130.2	126.3"
"2019.09.24	125.1	135.3	134.2"
"2019.08.27	135.1	131.5	135.8"
"2019.07.30	135.7	127.2	124.3"
"2019.06.25	121.5	126.3	131.3"
