"Date	ActualValue7	ForecastValue7	PreviousValue7"
"2024.05.24	0.4	0.3	0.0"
"2024.04.24	0.2	0.4	0.1"
"2024.03.26	0.5	0.2	-0.3"
"2024.02.27	-0.3	0.2	-0.1"
"2024.01.25	0.6	0.3	0.5"
"2023.12.22	0.5	0.0	-0.3"
"2023.11.22	0.0	0.0	0.2"
"2023.10.26	0.5	0.0	0.5"
"2023.09.27	0.4	0.0	0.1"
"2023.08.24	0.5	0.0	0.2"
"2023.07.27	0.6	0.0	0.7"
"2023.06.27	0.6	0.0	-0.6"
"2023.05.26	-0.2	0.0	0.3"
"2023.04.26	0.3	0.0	-0.3"
"2023.03.24	0.0	0.0	0.4"
"2023.02.27	0.7	0.0	-0.4"
"2023.01.26	-0.1	0.0	0.2"
"2022.12.23	0.2	0.0	0.1"
"2022.11.23	0.5	0.0	-0.9"
"2022.10.27	-0.5	0.0	0.0"
"2022.09.27	0.2	0.0	0.2"
"2022.08.24	0.3	-0.1	0.3"
"2022.07.27	0.3	0.0	0.5"
"2022.06.27	0.7	0.1	0.2"
"2022.05.25	0.3	0.0	1.1"
"2022.04.26	1.1	-0.1	-0.5"
"2022.03.24	-0.6	0.1	0.8"
"2022.02.25	0.7	0.0	0.9"
"2022.01.27	0.4	-0.2	1.1"
"2021.12.23	0.8	0.3	0.3"
"2021.11.24	0.5	0.3	0.7"
"2021.10.27	0.4	-0.5	0.3"
"2021.09.27	0.2	0.0	0.7"
"2021.08.25	0.7	0.4	0.6"
"2021.07.27	0.3	-0.1	0.5"
"2021.06.24	0.3	-0.2	1.7"
"2021.05.27	1.0	0.1	3.2"
"2021.04.26	1.6	0.1	-0.3"
"2021.03.24	-0.9	-0.1	1.6"
"2021.02.25	1.4	-0.2	1.7"
"2021.01.27	0.7	0.5	0.8"
"2020.12.23	0.4	0.1	1.9"
"2020.11.25	1.3	-0.5	1.5"
"2020.10.27	0.8	-0.1	1.0"
"2020.09.25	0.4	0.2	3.2"
"2020.08.26	2.4	2.3	4.0"
"2020.07.27	3.3	3.0	3.6"
"2020.06.25	4.0	1.5	-8.2"
"2020.05.28	-7.4	0.2	-1.7"
"2020.04.24	-0.2	0.1	-0.7"
"2020.03.25	-0.6	0.0	0.6"
"2020.02.27	0.9	0.0	0.1"
"2020.01.28	-0.1	0.1	-0.4"
"2019.12.23	0.0	0.0	0.3"
"2019.11.27	0.6	-0.2	-0.4"
"2019.10.24	-0.3	0.2	0.3"
"2019.09.27	0.5	0.0	-0.5"
"2019.08.26	-0.4	-0.2	0.8"
"2019.07.25	1.2	0.1	0.5"
