"Date	ActualValue5	ForecastValue5	PreviousValue5"
"2024.05.22	1.825	0.462	-2.508"
"2024.05.15	-2.508	3.425	-1.362"
"2024.05.08	-1.362	-0.608	7.265"
"2024.05.01	7.265	-0.507	-6.368"
"2024.04.24	-6.368	1.040	2.735"
"2024.04.17	2.735	1.175	5.841"
"2024.04.10	5.841	1.211	3.210"
"2024.04.03	3.210	-9.809	3.165"
"2024.03.27	3.165	-7.972	-1.952"
"2024.03.20	-1.952	-2.267	-1.536"
"2024.03.13	-1.536	9.757	1.367"
"2024.03.06	1.367	4.491	4.199"
"2024.02.28	4.199	3.930	3.514"
"2024.02.22	3.514	6.807	12.018"
"2024.02.14	12.018	3.392	5.520"
"2024.02.07	5.520	-3.716	1.234"
"2024.01.31	1.234	-6.860	-9.233"
"2024.01.24	-9.233	-0.744	-2.492"
"2024.01.18	-2.492	4.112	1.338"
"2024.01.10	1.338	-2.280	-5.503"
"2024.01.04	-5.503	-2.499	-7.114"
"2023.12.28	-7.114	0.809	2.909"
"2023.12.20	2.909	1.263	-4.258"
"2023.12.13	-4.258	-0.069	-4.633"
"2023.12.06	-4.633	-0.450	1.610"
"2023.11.29	1.610	1.726	8.700"
"2023.11.22	8.700	1.915	3.592"
"2023.11.15	3.592		13.869"
"2023.11.08	13.869	2.262	0.773"
"2023.11.01	0.773	2.180	1.372"
"2023.10.25	1.372	1.388	-4.491"
"2023.10.18	-4.491	0.570	10.176"
"2023.10.12	10.176	-1.590	-2.224"
"2023.10.04	-2.224	-1.508	-2.169"
"2023.09.27	-2.169	-2.013	-2.136"
"2023.09.20	-2.136	-3.452	3.955"
"2023.09.13	3.955	-5.761	-6.307"
"2023.09.07	-6.307	-3.088	-10.584"
"2023.08.30	-10.584	-2.921	-6.134"
"2023.08.23	-6.134	-2.299	-5.960"
"2023.08.16	-5.960	-2.456	5.851"
"2023.08.09	5.851	-4.635	-17.049"
"2023.08.02	-17.049	-0.071	-0.600"
"2023.07.26	-0.600	0.229	-0.708"
"2023.07.19	-0.708	-0.905	5.946"
"2023.07.12	5.946	-2.156	-1.508"
"2023.07.06	-1.508	-0.729	-9.603"
"2023.06.28	-9.603	1.415	-3.831"
"2023.06.22	-3.831	1.873	7.919"
"2023.06.14	7.919	1.482	-0.452"
"2023.06.07	-0.452	1.152	4.489"
"2023.06.01	4.489	-1.101	-12.456"
"2023.05.24	-12.456	2.696	5.040"
"2023.05.17	5.040	0.169	2.951"
"2023.05.10	2.951	-1.923	-1.281"
"2023.05.03	-1.281	-2.846	-5.054"
"2023.04.26	-5.054	-3.064	-4.581"
"2023.04.19	-4.581	-3.526	0.597"
"2023.04.12	0.597	-3.820	-3.739"
"2023.04.05	-3.739	0.146	-7.489"
"2023.03.29	-7.489	1.272	1.117"
"2023.03.22	1.117	0.811	1.550"
"2023.03.15	1.550	0.064	-1.694"
"2023.03.08	-1.694	2.304	1.166"
"2023.03.01	1.166	2.011	7.647"
"2023.02.23	7.647	5.681	16.283"
"2023.02.15	16.283	-0.026	2.423"
"2023.02.08	2.423	-0.012	4.140"
"2023.02.01	4.140	0.045	0.533"
"2023.01.25	0.533	0.023	8.408"
"2023.01.19	8.408	9.749	18.961"
"2023.01.11	18.961	-0.075	1.694"
"2023.01.05	1.694	-0.076	0.718"
"2022.12.29	0.718	-0.048	-5.895"
"2022.12.21	-5.895	1.434	10.231"
"2022.12.14	10.231	-0.680	-5.186"
"2022.12.07	-5.186	-4.244	-12.581"
"2022.11.30	-12.581	0.032	-3.690"
"2022.11.23	-3.690	0.115	-5.400"
"2022.11.16	-5.400	0.132	3.925"
"2022.11.09	3.925	0.120	-3.115"
"2022.11.02	-3.115	0.114	2.588"
"2022.10.26	2.588	0.110	-1.725"
"2022.10.19	-1.725	1.820	9.879"
"2022.10.13	9.879	0.098	-1.356"
"2022.10.05	-1.356	0.097	-0.215"
"2022.09.28	-0.215	0.196	1.141"
"2022.09.21	1.141	0.092	2.442"
"2022.09.14	2.442	0.778	8.845"
"2022.09.08	8.845	0.080	-3.326"
"2022.08.31	-3.326	0.076	-3.282"
"2022.08.24	-3.282	0.051	-7.056"
"2022.08.17	-7.056	0.013	5.457"
"2022.08.10	5.457	-0.020	4.467"
"2022.08.03	4.467	-0.042	-4.523"
"2022.07.27	-4.523	-0.109	-0.445"
"2022.07.20	-0.445	-0.097	3.254"
"2022.07.13	3.254	0.262	8.234"
"2022.07.07	8.234	-0.078	-2.762"
"2022.06.29	-2.762	-5.836	1.956"
"2022.06.15	1.956	-0.005	2.025"
"2022.06.08	2.025	0.018	-5.068"
"2022.06.02	-5.068	-0.005	-1.019"
"2022.05.25	-1.019	-0.020	-3.394"
"2022.05.18	-3.394	0.750	8.487"
"2022.05.11	8.487	-0.062	1.303"
"2022.05.04	1.303	-0.101	0.691"
"2022.04.27	0.691	-0.117	-8.020"
"2022.04.20	-8.020	-0.120	9.382"
"2022.04.13	9.382	0.043	2.421"
"2022.04.06	2.421	0.042	-3.449"
"2022.03.30	-3.449	0.864	-2.508"
"2022.03.23	-2.508	1.818	4.345"
"2022.03.16	4.345	0.129	-1.863"
"2022.03.09	-1.863	-0.657	-2.597"
"2022.03.02	-2.597	-0.059	4.514"
"2022.02.24	4.514	-0.050	1.121"
"2022.02.16	1.121	-0.039	-4.756"
"2022.02.09	-4.756	-0.016	-1.047"
"2022.02.02	-1.047	0.009	2.377"
"2022.01.26	2.377	0.031	0.515"
"2022.01.20	0.515	0.046	-4.553"
"2022.01.12	-4.553	0.048	-2.144"
"2022.01.05	-2.144	0.035	-3.576"
"2021.12.29	-3.576	0.008	-4.715"
"2021.12.22	-4.715	-0.031	-4.584"
"2021.12.15	-4.584	-0.077	-0.241"
"2021.12.08	-0.241	-0.116	-0.909"
"2021.12.01	-0.909	-0.160	1.017"
"2021.11.24	1.017	-0.197	-2.101"
"2021.11.17	-2.101	-0.255	1.002"
"2021.11.10	1.002	-0.362	3.290"
"2021.11.03	3.290	-0.502	4.268"
"2021.10.27	4.268	-0.678	-0.431"
"2021.10.20	-0.431	-0.894	6.088"
"2021.10.14	6.088	-1.071	2.345"
"2021.10.06	2.345	-1.182	4.578"
"2021.09.29	4.578	-1.196	-3.481"
"2021.09.22	-3.481	-1.027	-6.422"
"2021.09.15	-6.422	-1.817	-1.528"
"2021.09.09	-1.528	-1.915	-7.169"
"2021.09.01	-7.169	-1.939	-2.980"
"2021.08.25	-2.980	-2.028	-3.233"
"2021.08.18	-3.233	-2.125	-0.448"
"2021.08.11	-0.448	-2.190	3.627"
"2021.08.04	3.627	-2.443	-4.089"
"2021.07.28	-4.089	-2.637	2.107"
"2021.07.21	2.107	-2.986	-7.896"
"2021.07.14	-7.896	-3.120	-6.866"
"2021.07.08	-6.866	-3.410	-6.718"
"2021.06.30	-6.718	-3.499	-7.614"
"2021.06.23	-7.614	-3.085	-7.355"
"2021.06.16	-7.355	-2.399	-5.241"
"2021.06.09	-5.241	-0.288	-5.079"
"2021.06.03	-5.079	-0.019	-1.662"
"2021.05.26	-1.662	0.053	1.320"
"2021.05.19	1.320	0.040	-0.426"
"2021.05.12	-0.426	0.004	-7.990"
"2021.05.05	-7.990	0.051	0.090"
"2021.04.28	0.090	1.180	0.594"
"2021.04.21	0.594	0.858	-5.890"
"2021.04.14	-5.890	-2.207	-3.522"
"2021.04.07	-3.522	0.518	-0.876"
"2021.03.31	-0.876	2.129	1.912"
"2021.03.24	1.912	8.070	2.396"
"2021.03.17	2.396	18.683	13.798"
"2021.03.10	13.798	9.319	21.563"
"2021.03.03	21.563	-2.986	1.285"
"2021.02.24	1.285	-4.755	-7.257"
"2021.02.18	-7.257	-5.171	-6.645"
"2021.02.10	-6.645	-2.808	-0.994"
"2021.02.03	-0.994	-2.971	-9.910"
"2021.01.27	-9.910	0.564	4.352"
"2021.01.22	4.352	-5.604	-3.248"
"2021.01.13	-3.248	-7.215	-8.010"
"2021.01.06	-8.010	-1.414	-6.065"
"2020.12.30	-6.065	4.003	-0.562"
"2020.12.23	-0.562	6.038	-3.135"
"2020.12.16	-3.135	7.783	15.189"
"2020.12.09	15.189	-0.671	-0.679"
"2020.12.02	-0.679	0.011	-0.754"
"2020.11.25	-0.754	2.518	0.769"
"2020.11.18	0.769	-1.860	4.277"
"2020.11.12	4.277	-1.899	-7.998"
"2020.11.04	-7.998	1.634	4.320"
"2020.10.28	4.320	-2.410	-1.002"
"2020.10.21	-1.002	-1.666	-3.818"
"2020.10.15	-3.818	-0.739	0.501"
"2020.10.07	0.501	-1.808	-1.980"
"2020.09.30	-1.980	-3.016	-1.639"
"2020.09.23	-1.639	-1.191	-4.389"
"2020.09.16	-4.389	-3.651	2.033"
"2020.09.10	2.033	-7.231	-9.362"
"2020.09.02	-9.362	-2.947	-4.689"
"2020.08.26	-4.689	-3.074	-1.632"
"2020.08.19	-1.632	-5.930	-4.512"
"2020.08.12	-4.512	-9.077	-7.373"
"2020.08.05	-7.373	-3.059	-10.611"
"2020.07.29	-10.611	-1.295	4.892"
"2020.07.22	4.892	-0.938	-7.493"
"2020.07.15	-7.493	-0.756	5.654"
"2020.07.08	5.654	-2.481	-7.195"
"2020.07.01	-7.195	-3.976	1.442"
"2020.06.24	1.442	-5.145	1.215"
"2020.06.17	1.215	-5.411	5.720"
"2020.06.10	5.720	-5.419	-2.077"
"2020.06.03	-2.077	-2.817	7.928"
"2020.05.28	7.928	0.874	-4.982"
"2020.05.20	-4.982	5.457	-0.745"
"2020.05.13	-0.745	8.427	4.590"
"2020.05.06	4.590	8.656	8.991"
"2020.04.29	8.991	8.457	15.022"
"2020.04.22	15.022	4.568	19.248"
"2020.04.15	19.248	2.692	15.177"
"2020.04.08	15.177	2.244	13.833"
