"Date	ActualValue20	ForecastValue20	PreviousValue20"
"2024.05.23	0.634	0.681	0.665"
"2024.04.23	0.693	0.677	0.637"
"2024.03.25	0.662	0.638	0.664"
"2024.02.26	0.661	0.662	0.651"
"2024.01.25	0.664	0.649	0.615"
"2023.12.22	0.590	0.717	0.672"
"2023.11.27	0.679	0.716	0.719"
"2023.10.25	0.759	0.692	0.676"
"2023.09.26	0.675	0.703	0.739"
"2023.08.23	0.714	0.728	0.684"
"2023.07.26	0.697	0.721	0.715"
"2023.06.27	0.763	0.681	0.680"
"2023.05.23	0.683	0.659	0.656"
"2023.04.25	0.683	0.652	0.623"
"2023.03.23	0.640	0.640	0.633"
"2023.02.24	0.670	0.625	0.625"
"2023.01.26	0.616	0.633	0.602"
"2022.12.23	0.640	0.615	0.605"
"2022.11.23	0.632	0.641	0.588"
"2022.10.26	0.603	0.596	0.677"
"2022.09.27	0.685	0.640	0.532"
"2022.08.23	0.511	0.640	0.585"
"2022.07.26	0.590	0.641	0.642"
"2022.06.24	0.696	0.674	0.629"
"2022.05.24	0.591	0.766	0.709"
"2022.04.26	0.763	0.785	0.835"
"2022.03.23	0.772	0.805	0.788"
"2022.02.24	0.801	0.776	0.839"
"2022.01.26	0.811	0.742	0.725"
"2021.12.23	0.744	0.770	0.662"
"2021.11.24	0.745	0.769	0.742"
"2021.10.26	0.800	0.722	0.702"
"2021.09.24	0.740	0.689	0.708"
"2021.08.24	0.708	0.719	0.701"
"2021.07.26	0.676	0.814	0.724"
"2021.06.23	0.769	0.942	0.817"
"2021.05.25	0.863	1.024	0.917"
"2021.04.23	1.021	0.850	0.846"
"2021.03.23	0.775	1.042	0.948"
"2021.02.24	0.923	0.828	0.885"
"2021.01.28	0.842	0.793	0.829"
"2020.12.23	0.841	0.922	0.945"
"2020.11.25	0.999	0.921	1.002"
"2020.10.26	0.959	0.960	0.994"
"2020.09.24	1.011	0.839	0.965"
"2020.08.25	0.901	0.724	0.791"
"2020.07.24	0.776	0.646	0.682"
"2020.06.23	0.676	0.621	0.580"
"2020.05.26	0.623	0.692	0.619"
"2020.04.23	0.627	0.772	0.741"
"2020.03.24	0.765	0.714	0.800"
"2020.02.26	0.764	0.697	0.708"
"2020.01.27	0.694	0.684	0.697"
"2019.12.23	0.719	0.669	0.710"
"2019.11.26	0.733	0.656	0.738"
"2019.10.24	0.701	0.648	0.706"
"2019.09.25	0.713	0.641	0.666"
"2019.08.23	0.635	0.639	0.728"
"2019.07.24	0.646	0.636	0.604"
"2019.06.25	0.626	0.685	0.679"
"2019.05.23	0.673	0.680	0.723"
"2019.04.23	0.692	0.658	0.662"
"2019.03.29	0.667	0.641	0.636"
"2019.03.14	0.607	0.676	0.652"
"2019.03.05	0.621	0.609	0.599"
"2019.01.31	0.657	0.512	0.562"
"2018.11.28	0.544	0.604	0.597"
"2018.10.24	0.553	0.647	0.585"
"2018.09.26	0.629	0.652	0.608"
"2018.08.23	0.627	0.692	0.638"
"2018.07.25	0.631	0.667	0.666"
"2018.06.25	0.689	0.653	0.646"
"2018.05.23	0.662	0.639	0.672"
